company,ticker,negative,neutral,positive,netsent,stockb,stocka,category
yte,Y,0,0,0,0,523.2400,535.6500,Increase
yte,Y,0,1,0,0.010000000298023226,506.3550,523.2400,Increase
yte,Y,0,0,0,0,557.5300,506.3550,Decrease
Intel,INTC,2,10,4,1.8699999022483815,51.9789,53.8500,Increase
Intel,INTC,0,10,6,2.989999979585409,51.4600,51.9789,Increase
Intel,INTC,1,10,5,0.8600000554323204,49.7450,51.4600,Increase
Intel,INTC,3,7,6,4.439999939352272,49.7200,49.7450,Increase
Intuit,INTU,4,9,3,-1.1099999868869783,329.4800,342.2000,Increase
Intuit,INTU,1,10,5,0.7300000083446507,326.1300,329.4800,Increase
Intuit,INTU,3,8,5,0.4899999840557584,308.0200,326.1300,Increase
Intuit,INTU,0,12,4,1.2100000248849394,321.2500,308.0200,Decrease
Intuitive Surgical,ISRG,2,7,7,2.740000097304585,707.5700,741.2700,Increase
Intuitive Surgical,ISRG,0,10,6,3.2300000597536576,695.5600,707.5700,Increase
